UWI,BHT_Depth,BHT_Value,Formation,Top,Bottom,Lat,Long,True_Temp_C,Field,SPR,GRWS,DRESWS,CONDWS,CALWS,Set
42013301410000,12222.5,61.66666666666667,15_Glen_Rose_MD_ft,10796.27,12251.06,28.6901008299999,-98.46981655,141.55555555555557,Eaglebine,-136.43815999999998,18.52006666666667,66.78990333333334,49.594069999999995,14.05176666666667,Training
42013301930000,10396.0,107.22222222222223,12_Del_Rio_MD_ft,10366.0,10405.21,28.780042224067,-98.2083955137852,132.778,Eaglebine,-40.0903,,,,,Training
42013302760000,5733.0,65.55555555555556,05_Anacacho_MD_ft,5521.92,5758.25,28.9948095494857,-98.4227665767187,89.16111111111113,Eaglebine,-28.954439999999998,62.142700000000005,3.3849599999999995,304.81998,10.28462,Training
42013305480000,7806.000000000001,76.66666666666667,08_Lower_Eagle_Ford_MD_ft,7735.83,7807.0,28.9633949922499,-98.2959612184263,107.96111111111112,Eaglebine,-44.27525,106.06205,30.03665,33.515750000000004,8.38865,Training
42013310190000,10509.48,98.8888888888889,13_Georgetown_MD_ft,10503.75,10566.88,28.8179388299999,-98.1554722599999,133.72222222222223,Eaglebine,-52.0281,,,,,Training
42013311740000,10340.47,118.33333333333334,07_Upper_Eagle_Ford_MD_ft,10327.25,10368.42,28.81926938,-98.15135558,132.56666666666666,Eaglebine,-0.4636,50.6577,12.4349,80.4188,11.225,Training
42013312950000,6167.0,62.77777777777778,06_Austin_Chalk_MD_ft,6165.83,6351.01,28.9279149720269,-98.5774668802826,92.80555555555557,Eaglebine,-9.7743,33.700625,17.645325,69.3187,9.520975,Training
42013313140000,8152.0,85.0,07_Upper_Eagle_Ford_MD_ft,8128.54,8159.06,28.6940472559926,-98.7658608811644,111.67222222222222,Eaglebine,-42.7034,,,,,Training
42013313780000,6170.25,65.0,01_Wilcox_MD_ft,,6510.33,28.8513745425209,-98.7721591425097,93.42222222222223,Eaglebine,-20.93702868852459,,,,,Training
42013325590000,2055.0,37.77777777777778,01_Wilcox_MD_ft,,4504.5,28.9866808381823,-98.7030440947755,49.9,Eaglebine,-20.693287058823536,,,,,Training
42013326640000,10486.6,110.0,11_Buda_MD_ft,10422.33,10494.0,28.8254925275312,-98.1492394489409,138.61111110000002,Eaglebine,-87.6718,,,,,Training
42013332560000,10585.0,96.66666666666667,18_Sligo_MD_ft,10444.04,,28.9076430615904,-98.4473375837141,129.4777777777778,Eaglebine,-93.52340909090908,,,,,Training
42013339790000,10534.0,116.66666666666667,11_Buda_MD_ft,10467.0,10547.5,28.8263138028426,-98.1422911993867,134.1888888888889,Eaglebine,-51.1067,22.0052,191.6962,5.2166,10.3436,Training
42013340230000,9238.6,90.55555555555556,11_Buda_MD_ft,9191.4,9290.13,28.877433661859,-98.2410545022832,120.83333333333334,Eaglebine,-44.43075,20.50645,106.951,9.8467,13.36755,Training
42013340590000,10569.0,120.55555555555556,13_Georgetown_MD_ft,10436.95,,28.78340173,-98.21680209,133.2,Eaglebine,-130.3356090909091,28.36658,613.707609090909,81.20804545454546,8.436790909090911,Training
42025304380000,3073.0,54.44444444444445,04_Taylor_MD_ft,,5980.83,28.6871848271637,-97.928532817183,65.55555556,Eaglebine,-39.069371052631595,64.21913469387755,1.6220394736842096,831.9170447368421,10.297037500000002,Training
42025324790000,13523.5,145.55555555555557,14_Edwards_MD_ft,13109.79,5621.94,28.66652429,-98.0196573,159.71111111111114,Eaglebine,,,,,,Training
42041303360000,8886.5,96.11111111111111,09_Woodbine_MD_ft,8859.47,9364.13,30.7161043353271,-96.2580043906544,118.92222222222223,Eaglebine,-39.71936000000001,,,,,Training
42041304220000,11787.0,98.33333333333334,18_Sligo_MD_ft,11540.06,,30.9316749084703,-96.2220490989366,139.59444444444443,Eaglebine,,,,,,Training
42041304690000,7939.599999999999,83.88888888888889,09_Woodbine_MD_ft,7654.5,7997.17,30.7614826380482,-96.3854924255134,110.07777777777777,Eaglebine,-26.678833333333333,,,,,Training
42041305800000,7683.600000000001,73.88888888888889,10_Maness_MD_ft,7615.67,7721.67,30.7355505677959,-96.4656602752401,82.77777778,Eaglebine,-6.789949999999999,,,,,Training
42041306390000,9974.0,112.22222222222223,10_Maness_MD_ft,9970.33,10079.17,30.670144075234,-96.248183051565,128.16111111111113,Eaglebine,-2.606,,,,,Training
42041307630000,8388.0,85.55555555555556,10_Maness_MD_ft,8344.67,8449.0,30.7304943052821,-96.3662117186683,114.16111111111113,Eaglebine,-19.493949999999998,,,,,Training
42041308650000,8339.0,87.77777777777779,09_Woodbine_MD_ft,8122.83,8471.67,30.6977303571518,-96.3903289040349,114.2,Eaglebine,-9.245814285714285,,,,,Training
42041308840000,8095.170000000001,80.0,11_Buda_MD_ft,8057.4,8171.88,30.783522162522,-96.3673273733974,110.79444444444445,Eaglebine,-62.862899999999996,,,,,Training
42041309220000,7999.0,80.55555555555556,10_Maness_MD_ft,7934.49,8054.83,30.7653771454791,-96.3941530059748,110.34444444444445,Eaglebine,-29.864,,,,,Training
42041309330000,8423.0,87.77777777777779,12_Del_Rio_MD_ft,8397.59,8434.04,30.7816937232462,-96.3400767009534,113.59444444444445,Eaglebine,-13.7994,,,,,Training
42041309360000,9592.5,103.33333333333334,10_Maness_MD_ft,9536.17,9637.15,30.6307569194059,-96.3421094138762,125.3388888888889,Eaglebine,-21.58535,,,,,Training
42041310960000,8282.0,96.11111111111111,12_Del_Rio_MD_ft,8274.17,8323.33,30.7425239580677,-96.4035597217352,112.97222222222223,Eaglebine,,58.1468,,,,Training
